Inference - 2020-08-03 21:27:23
save_image: False
border: False
model_path: ../pretrain_models/CDVD_TSP_GOPRO.pt
data_path: ../dataset/GOPRO/test
result_path: ../infer_results/GOPRO
n_seq: 5
size_must_mode: 4
device: cuda
Loading model from ../pretrain_models/CDVD_TSP_GOPRO.pt
> GOPR0384_11_05-004035 PSNR=34.442, SSIM=0.9635 pre_time:0.23s, forward_time:2.09s, post_time:1.19s, total_time:3.51s
> GOPR0384_11_05-004036 PSNR=33.307, SSIM=0.9605 pre_time:0.229s, forward_time:2.05s, post_time:1.19s, total_time:3.47s
> GOPR0384_11_05-004037 PSNR=33.248, SSIM=0.9525 pre_time:0.227s, forward_time:2.14s, post_time:1.19s, total_time:3.56s
> GOPR0384_11_05-004038 PSNR=33.202, SSIM=0.9519 pre_time:0.23s, forward_time:2.13s, post_time:1.17s, total_time:3.53s
> GOPR0384_11_05-004039 PSNR=33.324, SSIM=0.9559 pre_time:0.228s, forward_time:2.14s, post_time:1.19s, total_time:3.55s
> GOPR0384_11_05-004040 PSNR=32.535, SSIM=0.9485 pre_time:0.228s, forward_time:2.1s, post_time:1.18s, total_time:3.5s
> GOPR0384_11_05-004041 PSNR=31.744, SSIM=0.9446 pre_time:0.226s, forward_time:2.05s, post_time:1.19s, total_time:3.47s
> GOPR0384_11_05-004042 PSNR=32.633, SSIM=0.9495 pre_time:0.229s, forward_time:2.14s, post_time:1.18s, total_time:3.54s
> GOPR0384_11_05-004043 PSNR=32.582, SSIM=0.9491 pre_time:0.229s, forward_time:2.13s, post_time:1.2s, total_time:3.56s
> GOPR0384_11_05-004044 PSNR=32.46, SSIM=0.9449 pre_time:0.228s, forward_time:2.15s, post_time:1.19s, total_time:3.56s
> GOPR0384_11_05-004045 PSNR=32.111, SSIM=0.9446 pre_time:0.229s, forward_time:2.05s, post_time:1.18s, total_time:3.46s
> GOPR0384_11_05-004046 PSNR=32.528, SSIM=0.9483 pre_time:0.227s, forward_time:2.12s, post_time:1.17s, total_time:3.52s
> GOPR0384_11_05-004047 PSNR=34.193, SSIM=0.958 pre_time:0.229s, forward_time:2.03s, post_time:1.19s, total_time:3.45s
> GOPR0384_11_05-004048 PSNR=33.142, SSIM=0.9562 pre_time:0.229s, forward_time:2.14s, post_time:1.18s, total_time:3.55s
> GOPR0384_11_05-004049 PSNR=34.281, SSIM=0.9587 pre_time:0.23s, forward_time:2.15s, post_time:1.18s, total_time:3.56s
> GOPR0384_11_05-004050 PSNR=34.314, SSIM=0.9568 pre_time:0.229s, forward_time:2.13s, post_time:1.18s, total_time:3.54s
> GOPR0384_11_05-004051 PSNR=33.7, SSIM=0.9548 pre_time:0.228s, forward_time:2.07s, post_time:1.19s, total_time:3.49s
> GOPR0384_11_05-004052 PSNR=33.132, SSIM=0.9511 pre_time:0.23s, forward_time:2.13s, post_time:1.18s, total_time:3.54s
> GOPR0384_11_05-004053 PSNR=33.313, SSIM=0.9559 pre_time:0.228s, forward_time:2.14s, post_time:1.17s, total_time:3.54s
> GOPR0384_11_05-004054 PSNR=33.838, SSIM=0.9569 pre_time:0.227s, forward_time:2.13s, post_time:1.19s, total_time:3.54s
> GOPR0384_11_05-004055 PSNR=32.581, SSIM=0.9467 pre_time:0.226s, forward_time:2.05s, post_time:1.17s, total_time:3.45s
> GOPR0384_11_05-004056 PSNR=34.439, SSIM=0.9599 pre_time:0.229s, forward_time:2.05s, post_time:1.17s, total_time:3.44s
