Inference - 2020-08-05 10:46:56
save_image: False
border: False
model_path: ../pretrain_models/CDVD_TSP_DVD_Convergent.pt
data_path: ../dataset/DVD/test
result_path: ../infer_results/DVD
n_seq: 5
size_must_mode: 4
device: cuda
Loading model from ../pretrain_models/CDVD_TSP_DVD_Convergent.pt
> IMG_0003-00041 PSNR=28.788, SSIM=0.9123 pre_time:0.129s, forward_time:2.05s, post_time:1.18s, total_time:3.37s
> IMG_0003-00042 PSNR=29.342, SSIM=0.9167 pre_time:0.131s, forward_time:2.06s, post_time:1.18s, total_time:3.36s
> IMG_0003-00043 PSNR=29.614, SSIM=0.9203 pre_time:0.139s, forward_time:2.05s, post_time:1.2s, total_time:3.39s
> IMG_0003-00044 PSNR=29.282, SSIM=0.9195 pre_time:0.131s, forward_time:2.08s, post_time:1.19s, total_time:3.4s
> IMG_0003-00045 PSNR=29.314, SSIM=0.9175 pre_time:0.132s, forward_time:2.08s, post_time:1.19s, total_time:3.39s
> IMG_0003-00046 PSNR=28.962, SSIM=0.9151 pre_time:0.131s, forward_time:2.13s, post_time:1.2s, total_time:3.46s
> IMG_0003-00047 PSNR=29.112, SSIM=0.9171 pre_time:0.13s, forward_time:2.14s, post_time:1.19s, total_time:3.47s
> IMG_0003-00048 PSNR=29.408, SSIM=0.9186 pre_time:0.13s, forward_time:2.13s, post_time:1.18s, total_time:3.44s
> IMG_0003-00049 PSNR=29.297, SSIM=0.9156 pre_time:0.143s, forward_time:2.14s, post_time:1.18s, total_time:3.47s
> IMG_0003-00050 PSNR=28.812, SSIM=0.9095 pre_time:0.131s, forward_time:2.04s, post_time:1.18s, total_time:3.35s
> IMG_0003-00051 PSNR=28.683, SSIM=0.9021 pre_time:0.13s, forward_time:2.13s, post_time:1.19s, total_time:3.46s
> IMG_0003-00052 PSNR=27.96, SSIM=0.8908 pre_time:0.13s, forward_time:2.14s, post_time:1.19s, total_time:3.46s
> IMG_0003-00053 PSNR=28.589, SSIM=0.9034 pre_time:0.154s, forward_time:2.04s, post_time:1.19s, total_time:3.39s
> IMG_0003-00054 PSNR=28.891, SSIM=0.9046 pre_time:0.137s, forward_time:2.08s, post_time:1.18s, total_time:3.39s
> IMG_0003-00055 PSNR=27.764, SSIM=0.8884 pre_time:0.13s, forward_time:2.14s, post_time:1.18s, total_time:3.45s
> IMG_0003-00056 PSNR=28.485, SSIM=0.9028 pre_time:0.13s, forward_time:2.04s, post_time:1.18s, total_time:3.34s
> IMG_0003-00057 PSNR=29.129, SSIM=0.9145 pre_time:0.129s, forward_time:2.14s, post_time:1.19s, total_time:3.45s
> IMG_0003-00058 PSNR=28.829, SSIM=0.9133 pre_time:0.13s, forward_time:2.04s, post_time:1.18s, total_time:3.36s
> IMG_0003-00059 PSNR=28.6, SSIM=0.9093 pre_time:0.13s, forward_time:2.04s, post_time:1.18s, total_time:3.35s
> IMG_0003-00060 PSNR=29.487, SSIM=0.9223 pre_time:0.131s, forward_time:2.12s, post_time:1.18s, total_time:3.43s
> IMG_0003-00061 PSNR=29.032, SSIM=0.9204 pre_time:0.13s, forward_time:2.06s, post_time:1.19s, total_time:3.38s
> IMG_0003-00062 PSNR=28.119, SSIM=0.9061 pre_time:0.129s, forward_time:2.04s, post_time:1.18s, total_time:3.35s
> IMG_0003-00063 PSNR=28.04, SSIM=0.9009 pre_time:0.129s, forward_time:2.11s, post_time:1.19s, total_time:3.42s
> IMG_0003-00064 PSNR=28.007, SSIM=0.9012 pre_time:0.137s, forward_time:2.13s, post_time:1.18s, total_time:3.45s
> IMG_0003-00065 PSNR=26.9, SSIM=0.8813 pre_time:0.13s, forward_time:2.03s, post_time:1.17s, total_time:3.33s
> IMG_0003-00066 PSNR=26.661, SSIM=0.8725 pre_time:0.128s, forward_time:2.12s, post_time:1.19s, total_time:3.44s
> IMG_0003-00067 PSNR=26.888, SSIM=0.8744 pre_time:0.13s, forward_time:2.09s, post_time:1.17s, total_time:3.39s
> IMG_0003-00068 PSNR=27.395, SSIM=0.8882 pre_time:0.138s, forward_time:2.04s, post_time:1.21s, total_time:3.38s
> IMG_0003-00069 PSNR=27.987, SSIM=0.8992 pre_time:0.133s, forward_time:2.07s, post_time:1.17s, total_time:3.37s
> IMG_0003-00070 PSNR=28.878, SSIM=0.9142 pre_time:0.134s, forward_time:2.05s, post_time:1.18s, total_time:3.36s
> IMG_0003-00071 PSNR=29.309, SSIM=0.9183 pre_time:0.13s, forward_time:2.14s, post_time:1.18s, total_time:3.45s
> IMG_0003-00072 PSNR=29.028, SSIM=0.9172 pre_time:0.13s, forward_time:2.12s, post_time:1.17s, total_time:3.42s
> IMG_0003-00073 PSNR=29.275, SSIM=0.9222 pre_time:0.143s, forward_time:2.04s, post_time:1.2s, total_time:3.38s
> IMG_0003-00074 PSNR=29.12, SSIM=0.9185 pre_time:0.131s, forward_time:2.04s, post_time:1.19s, total_time:3.37s
> IMG_0003-00075 PSNR=29.621, SSIM=0.9241 pre_time:0.13s, forward_time:2.05s, post_time:1.2s, total_time:3.38s
> IMG_0003-00076 PSNR=29.619, SSIM=0.9235 pre_time:0.149s, forward_time:2.16s, post_time:1.2s, total_time:3.5s
> IMG_0003-00077 PSNR=28.507, SSIM=0.9049 pre_time:0.139s, forward_time:2.13s, post_time:1.2s, total_time:3.47s
> IMG_0003-00078 PSNR=28.933, SSIM=0.9054 pre_time:0.129s, forward_time:2.04s, post_time:1.19s, total_time:3.36s
> IMG_0003-00079 PSNR=29.634, SSIM=0.9102 pre_time:0.13s, forward_time:2.1s, post_time:1.2s, total_time:3.43s
> IMG_0003-00080 PSNR=29.966, SSIM=0.9208 pre_time:0.131s, forward_time:2.15s, post_time:1.19s, total_time:3.47s
> IMG_0003-00081 PSNR=30.642, SSIM=0.928 pre_time:0.129s, forward_time:2.06s, post_time:1.18s, total_time:3.36s
> IMG_0003-00082 PSNR=30.502, SSIM=0.9273 pre_time:0.131s, forward_time:2.05s, post_time:1.2s, total_time:3.38s
> IMG_0003-00083 PSNR=30.312, SSIM=0.9272 pre_time:0.129s, forward_time:2.05s, post_time:1.21s, total_time:3.38s
> IMG_0003-00084 PSNR=30.99, SSIM=0.9319 pre_time:0.142s, forward_time:2.12s, post_time:1.19s, total_time:3.45s
> IMG_0003-00085 PSNR=30.961, SSIM=0.9315 pre_time:0.131s, forward_time:2.06s, post_time:1.21s, total_time:3.41s
> IMG_0003-00086 PSNR=29.542, SSIM=0.9177 pre_time:0.13s, forward_time:2.15s, post_time:1.19s, total_time:3.47s
> IMG_0003-00087 PSNR=30.043, SSIM=0.9147 pre_time:0.129s, forward_time:2.04s, post_time:1.18s, total_time:3.35s
> IMG_0003-00088 PSNR=30.227, SSIM=0.9114 pre_time:0.128s, forward_time:2.07s, post_time:1.18s, total_time:3.37s
> IMG_0003-00089 PSNR=29.219, SSIM=0.9002 pre_time:0.129s, forward_time:2.12s, post_time:1.18s, total_time:3.43s
> IMG_0003-00090 PSNR=29.474, SSIM=0.9 pre_time:0.137s, forward_time:2.05s, post_time:1.18s, total_time:3.36s
> IMG_0003-00091 PSNR=29.979, SSIM=0.9107 pre_time:0.132s, forward_time:2.14s, post_time:1.18s, total_time:3.45s
> IMG_0003-00092 PSNR=30.216, SSIM=0.9142 pre_time:0.129s, forward_time:2.15s, post_time:1.17s, total_time:3.45s
> IMG_0003-00093 PSNR=28.409, SSIM=0.8946 pre_time:0.129s, forward_time:2.12s, post_time:1.19s, total_time:3.44s
> IMG_0003-00094 PSNR=29.643, SSIM=0.9105 pre_time:0.129s, forward_time:2.06s, post_time:1.19s, total_time:3.38s
> IMG_0003-00095 PSNR=29.556, SSIM=0.911 pre_time:0.132s, forward_time:2.06s, post_time:1.18s, total_time:3.37s
> IMG_0003-00096 PSNR=30.494, SSIM=0.9249 pre_time:0.131s, forward_time:2.12s, post_time:1.17s, total_time:3.42s
> IMG_0003-00097 PSNR=32.078, SSIM=0.9451 pre_time:0.131s, forward_time:2.14s, post_time:1.2s, total_time:3.46s
