Inference - 2021-07-10 01:06:46
save_image: False
border: False
model_path: ..\pretrain_models\CDVD_TSP_DVD_Convergent.pt
data_path: ..\dataset\DVD\test
result_path: ..\infer_results\DVD_S7
n_seq: 7
size_must_mode: 4
device: cuda
Loading model from ..\pretrain_models\CDVD_TSP_DVD_Convergent.pt
> IMG_0003-00078 PSNR=28.178, SSIM=0.8934 pre_time:0.441s, forward_time:5.14s, post_time:2.37s, total_time:7.95s
> IMG_0003-00079 PSNR=28.699, SSIM=0.8987 pre_time:0.459s, forward_time:5.33s, post_time:2.49s, total_time:8.28s
> IMG_0003-00080 PSNR=29.097, SSIM=0.9105 pre_time:0.433s, forward_time:5.29s, post_time:2.44s, total_time:8.16s
> IMG_0003-00081 PSNR=29.841, SSIM=0.9183 pre_time:0.414s, forward_time:5.46s, post_time:2.62s, total_time:8.5s
> IMG_0003-00082 PSNR=29.591, SSIM=0.9181 pre_time:0.511s, forward_time:5.21s, post_time:2.44s, total_time:8.16s
> IMG_0003-00083 PSNR=29.231, SSIM=0.9105 pre_time:0.461s, forward_time:5.29s, post_time:2.63s, total_time:8.38s
> IMG_0003-00084 PSNR=30.097, SSIM=0.9215 pre_time:0.422s, forward_time:5.16s, post_time:2.65s, total_time:8.23s
> IMG_0003-00085 PSNR=30.003, SSIM=0.9175 pre_time:0.521s, forward_time:5.67s, post_time:2.83s, total_time:9.02s
> IMG_0003-00086 PSNR=29.232, SSIM=0.9107 pre_time:0.522s, forward_time:5.72s, post_time:2.6s, total_time:8.84s
> IMG_0003-00087 PSNR=29.244, SSIM=0.9003 pre_time:0.413s, forward_time:5.64s, post_time:2.63s, total_time:8.68s
> IMG_0003-00088 PSNR=29.012, SSIM=0.8927 pre_time:0.492s, forward_time:5.61s, post_time:2.48s, total_time:8.58s
> IMG_0003-00089 PSNR=28.59, SSIM=0.8921 pre_time:0.475s, forward_time:5.61s, post_time:2.41s, total_time:8.5s
> IMG_0003-00090 PSNR=28.725, SSIM=0.8891 pre_time:0.471s, forward_time:5.2s, post_time:2.32s, total_time:7.99s
> IMG_0003-00091 PSNR=29.485, SSIM=0.904 pre_time:0.428s, forward_time:5.32s, post_time:2.61s, total_time:8.37s
> IMG_0003-00092 PSNR=29.155, SSIM=0.9008 pre_time:0.458s, forward_time:5.11s, post_time:2.25s, total_time:7.82s
> IMG_0003-00093 PSNR=26.983, SSIM=0.8655 pre_time:0.468s, forward_time:5.18s, post_time:2.43s, total_time:8.08s
> IMG_0003-00094 PSNR=28.161, SSIM=0.8891 pre_time:0.494s, forward_time:5.3s, post_time:2.31s, total_time:8.11s
> IMG_0003-00095 PSNR=28.308, SSIM=0.8946 pre_time:0.443s, forward_time:5.07s, post_time:2.41s, total_time:7.93s
> IMG_0003-00096 PSNR=29.427, SSIM=0.9115 pre_time:0.467s, forward_time:5.29s, post_time:2.43s, total_time:8.18s
> IMG_0021-00003 PSNR=33.606, SSIM=0.9589 pre_time:0.891s, forward_time:5.18s, post_time:2.38s, total_time:8.45s
> IMG_0021-00004 PSNR=33.793, SSIM=0.9614 pre_time:0.492s, forward_time:5.36s, post_time:2.33s, total_time:8.18s
> IMG_0021-00005 PSNR=34.6, SSIM=0.965 pre_time:0.485s, forward_time:5.34s, post_time:2.53s, total_time:8.35s
> IMG_0021-00006 PSNR=35.168, SSIM=0.9668 pre_time:0.472s, forward_time:5.24s, post_time:2.35s, total_time:8.06s
