Inference - 2021-07-09 19:15:28
save_image: False
border: False
model_path: ..\pretrain_models\CDVD_TSP_DVD_OCLR_S3_720.pt
data_path: ..\dataset\DVD\test
result_path: ..\infer_results\DVD_OCLR_S3
n_seq: 3
size_must_mode: 4
device: cuda
Loading model from ..\pretrain_models\CDVD_TSP_DVD_OCLR_S3_720.pt
> IMG_0003-00031 PSNR=26.153, SSIM=0.8434 pre_time:0.144s, forward_time:0.28s, post_time:2.07s, total_time:2.5s
> IMG_0003-00032 PSNR=25.868, SSIM=0.8364 pre_time:0.138s, forward_time:0.27s, post_time:2.1s, total_time:2.5s
> IMG_0003-00033 PSNR=25.828, SSIM=0.8339 pre_time:0.152s, forward_time:0.276s, post_time:2.04s, total_time:2.47s
> IMG_0003-00034 PSNR=25.609, SSIM=0.8291 pre_time:0.143s, forward_time:0.265s, post_time:2.04s, total_time:2.45s
> IMG_0003-00035 PSNR=25.878, SSIM=0.8433 pre_time:0.147s, forward_time:0.269s, post_time:2.05s, total_time:2.47s
> IMG_0003-00036 PSNR=25.789, SSIM=0.8441 pre_time:0.144s, forward_time:0.262s, post_time:2.03s, total_time:2.44s
> IMG_0003-00037 PSNR=23.717, SSIM=0.7736 pre_time:0.143s, forward_time:0.278s, post_time:2.07s, total_time:2.49s
> IMG_0003-00038 PSNR=23.612, SSIM=0.7528 pre_time:0.151s, forward_time:0.28s, post_time:2.03s, total_time:2.46s
> IMG_0003-00039 PSNR=24.853, SSIM=0.821 pre_time:0.167s, forward_time:0.274s, post_time:1.99s, total_time:2.43s
> IMG_0003-00040 PSNR=27.017, SSIM=0.8862 pre_time:0.141s, forward_time:0.267s, post_time:2.06s, total_time:2.47s
> IMG_0003-00041 PSNR=28.264, SSIM=0.9063 pre_time:0.157s, forward_time:0.276s, post_time:2.04s, total_time:2.47s
> IMG_0003-00042 PSNR=28.575, SSIM=0.9043 pre_time:0.14s, forward_time:0.269s, post_time:2.04s, total_time:2.45s
